turn_index,timestamp,sender,text,joy,warmth,sadness,anger,anxiety,neutral
148,2026-05-19T02:53:03,Миша,который вместо поцелувков чет полезное делал,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
149,2026-05-19T02:53:07,Миша,хорошие идеи предлагал,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
150,2026-05-19T02:53:08,Миша,и тд,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
151,2026-05-19T02:53:13,Эвелина,иосиф да,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
152,2026-05-19T02:53:16,Миша,сори что not enough,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
153,2026-05-19T02:53:20,Миша,виссарионович?,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
154,2026-05-19T02:53:30,Эвелина,вряд ли,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
155,2026-05-19T02:53:34,Эвелина,блин прикольно,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
156,2026-05-19T02:53:42,Эвелина,сталина звали как мужа девы марии,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
157,2026-05-19T02:53:59,Миша,а его жену как,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
158,2026-05-19T02:54:08,Миша,надя,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
159,2026-05-19T02:54:09,Миша,(,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
160,2026-05-19T02:54:19,Эвелина,ой там интересная такая была тян,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
161,2026-05-19T02:54:25,Миша,жопа вся в помаде,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
162,2026-05-19T02:54:29,Миша,потом(,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
163,2026-05-19T02:54:33,Миша,расскажешь пж,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
164,2026-05-19T02:54:39,Эвелина,аллилуева,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
165,2026-05-19T02:54:39,Миша,мне интересно,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
166,2026-05-19T02:54:40,Эвелина,прикинь,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
167,2026-05-19T02:54:45,Эвелина,вххаха,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
168,2026-05-19T02:54:52,Миша,"нет, сталина",0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
169,2026-05-19T02:54:57,Миша,у нее папа был,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
170,2026-05-19T02:54:59,Миша,сталь,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
171,2026-05-19T02:55:49,Эвелина,типа хвала господу,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
172,2026-05-19T02:55:57,Эвелина,"не, мы в какойто рил матрице живем",0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
173,2026-05-19T02:56:38,Миша,угу,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
174,2026-05-19T02:56:43,Миша,лан все,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
175,2026-05-19T02:56:44,Миша,пора,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
176,2026-05-19T02:56:48,Эвелина,ты спать?,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
177,2026-05-19T02:56:53,Миша,еще надо 2 часа поспать успеть,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
